Equip ID,Minesite,Equipment,Equip Label,Equipment Type,Model,Status,SerialNumber,Commissioning Date,Parent Product Family,Brand,Product Group
5770,Essakane,N765,NV-765,14,14M,-1,R9J00832,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5771,Essakane,N757,NV-757,16,16M,-1,B9H00492,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5772,Essakane,N758,NV-758,16,16M,-1,R9H00419,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5773,Essakane,N759,NV-759,16,16M,-1,R9H00316,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5774,Essakane,N760,NV-760,16,16M,-1,R9H00317,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5775,Essakane,N761,NV-761,16,16M,-1,R9H00888,12/31/2018 4:00:00 PM,MOTOR GRADER,CAT,MOTOR GRADER
5776,Essakane,E739,EX-739,304,304C CR,-1,FPK06190,12/31/2018 4:00:00 PM,MINI HYDRAULIC EXCAVATOR,CAT,MINI HYDRAULIC EXCAVATOR
5777,Essakane,E740,EX-740,305 CR,,-1,5X500822,12/31/2018 4:00:00 PM,,CAT,
5778,Essakane,E728,EX-728,345,315C,-1,AKEF20026,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5779,Essakane,E741,EX-741,345,345 GC,-1,KEF30636,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5780,Essakane,E724,EX-724,349,349D L,-1,JGB00522,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5781,Essakane,E727,EX-727,349,349D2 L,-1,TAH00451,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5765,Essakane,E729,EX-729,349,349,-1,RBY20876,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5766,Essakane,E730,EX-730,349,349,-1,RBY20910,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5782,Essakane,E733,EX-733,390,390F L,-1,GAY20005,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5783,Essakane,E734,EX-734,390,390F L,-1,GAY20069,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5767,Essakane,E735,EX-735,395,395,-1,SGD00328,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5768,Essakane,E736,EX-736,395,395,-1,SGD00330,12/31/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
6652,Essakane,E737,EX-737,395,395,-1,SGD30064,12/29/2018 4:00:00 PM,EXCAVATOR,CAT,EXCAVATOR
5784,Essakane,C675,CH-675,428,428F2,-1,LYG03104,12/31/2018 4:00:00 PM,BACKHOE LOADER,CAT,BACKHOE LOADER
5785,Essakane,C676,CH-676,428,,-1,L7D01498,12/31/2018 4:00:00 PM,,CAT,
5846,Essakane,E709,EX-709,6030,6030 FS,-1,DHG30355,12/31/2018 4:00:00 PM,EXPANDED MINING PRODUCTS,CAT,EXPANDED MINING PRODUCTS
6651,Essakane,E710,EX-710,6030,6030,-1,6P300119,12/30/2018 4:00:00 PM,EXPANDED MINING PRODUCTS,CAT,EXPANDED MINING PRODUCTS
5786,Essakane,T859,CM-859,740,740B,-1,L4E03209,12/31/2018 4:00:00 PM,ARTICULATED DUMP TRUCK,CAT,ARTICULATED DUMP TRUCK
5790,Essakane,T841,CM-841,777,777F,-1,JRP01077,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5791,Essakane,T842,CM-842,777,777F,-1,JRP01152,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5792,Essakane,T843,CM-843,777,777F,-1,JRP01153,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5795,Essakane,T844,CM-844,777,777F,-1,JRP01223,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5793,Essakane,T845,CM-845,777,777F,-1,JRP01491,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5794,Essakane,T846,CM-846,777,777F,-1,JRP01918,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5787,Essakane,P848,CM-848,777,777D,-1,AGC00174,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5796,Essakane,T849,CM-849,777,777F,-1,JXP00236,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5789,Essakane,T850,CM-850,777,777D,-1,AGC01891,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5788,Essakane,T851,CM-851,777,777D,-1,FKR00853,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5797,Essakane,T801,CM-801,785,785C,-1,APX01640,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5798,Essakane,T802,CM-802,785,785C,-1,APX01643,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5799,Essakane,T803,CM-803,785,785C,-1,APX01644,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5800,Essakane,T804,CM-804,785,785C,-1,APX01650,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5801,Essakane,T805,CM-805,785,785C,-1,APX01651,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5802,Essakane,T806,CM-806,785,785C,-1,APX01655,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5803,Essakane,T807,CM-807,785,785C,-1,APX01656,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5804,Essakane,T808,CM-808,785,785C,-1,APX01657,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5805,Essakane,T809,CM-809,785,785C,-1,APX01658,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5806,Essakane,T810,CM-810,785,785C,-1,APX01659,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5807,Essakane,T811,CM-811,785,785C,-1,APX01660,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5808,Essakane,T812,CM-812,785,785C,-1,APX01666,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5809,Essakane,T813,CM-813,785,785C,-1,APX01667,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5810,Essakane,T814,CM-814,785,785C,-1,APX01668,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5811,Essakane,T815,CM-815,785,785C,-1,APX02025,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5812,Essakane,T816,CM-816,785,785C,-1,APX02026,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5813,Essakane,T817,CM-817,785,785C,-1,APX02027,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5814,Essakane,T818,CM-818,785,785C,-1,APX02037,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5815,Essakane,T819,CM-819,785,785C,-1,APX02039,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5816,Essakane,T820,CM-820,785,785C,-1,APX02051,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5817,Essakane,T821,CM-821,785,785C,-1,APX02079,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5818,Essakane,T822,CM-822,785,785C,-1,APX02080,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5819,Essakane,T823,CM-823,785,785C,-1,APX02081,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5820,Essakane,T824,CM-824,785,785C,-1,APX02082,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5821,Essakane,T825,CM-825,785,785C,-1,APX02084,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5822,Essakane,T826,CM-826,785,785C,-1,APX02228,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5823,Essakane,T861,CM-861,785,785D,-1,MSY00766,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5824,Essakane,T862,CM-862,785,785D,-1,MSY00767,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5825,Essakane,T863,CM-863,785,785D,-1,MSY00768,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5826,Essakane,T864,CM-864,785,785D,-1,MSY00774,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5827,Essakane,T865,CM-865,785,785D,-1,MSY00775,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5828,Essakane,T866,CM-866,785,785D,-1,MSY00780,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5829,Essakane,T867,CM-867,785,785D,-1,MSY00783,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5830,Essakane,T868,CM-868,785,785D,-1,MSY00784,12/31/2018 4:00:00 PM,OFF-HIGHWAY TRUCK,CAT,OFF-HIGHWAY TRUCK
5831,Essakane,D751,TC-751,824,824H,-1,ASX00334,12/31/2018 4:00:00 PM,WHEEL DOZER,CAT,WHEEL DOZER
5832,Essakane,D752,TC-752,824,824H,-1,ASX00505,12/31/2018 4:00:00 PM,WHEEL DOZER,CAT,WHEEL DOZER
5833,Essakane,D780,TC-780,834,834K,-1,L4Y00218,12/31/2018 4:00:00 PM,WHEEL DOZER,CAT,WHEEL DOZER
5834,Essakane,C666,CH-666,938,938K,-1,XXT00714,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5835,Essakane,C667,CH-667,938,938K,-1,W8K02798,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5837,Essakane,C661,CH-661,950,950H,-1,N1A02632,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5838,Essakane,C663,CH-663,950,950H,-1,N1A02988,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5836,Essakane,C665,CH-665,950,950 GC,-1,M5K05153,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5839,Essakane,C652,CH-652,966,966H,-1,A6G00507,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5840,Essakane,C653,CH-653,966,966H,-1,TAL02147,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5841,Essakane,C716,CH-716,993,993K,-1,Z9K00335,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5842,Essakane,C717,CH-717,993,993K,-1,Z4Z00370,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5843,Essakane,C718,CH-718,993,993K,-1,Z4Z00515,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5844,Essakane,C719,CH-719,993,993K,-1,Z4Z00702,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5845,Essakane,C720,CH-720,993,993K,-1,Z8Z00164,12/31/2018 4:00:00 PM,WHEEL-TYPE LOADER,CAT,WHEEL-TYPE LOADER
5847,Essakane,,CT-767,CP56,CP-56,-1,FCP00119,12/31/2018 4:00:00 PM,PAVING COMPACTOR,CAT,PAVING COMPACTOR
5848,Essakane,,CT-772,CS56,CS-56,-1,FCS00978,12/31/2018 4:00:00 PM,PAVING COMPACTOR,CAT,PAVING COMPACTOR
5849,Essakane,,CT-768,CS563E,CS-563E,-1,ASA01036,12/31/2018 4:00:00 PM,PAVING COMPACTOR,CAT,PAVING COMPACTOR
5850,Essakane,,CT-773,CS78B,CS-78B,-1,M8M00346,12/31/2018 4:00:00 PM,PAVING COMPACTOR,CAT,PAVING COMPACTOR
5851,Essakane,D753,TC-753,D10,D10T,-1,RJG02606,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5852,Essakane,D754,TC-754,D10,D10T,-1,RJG02492,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5853,Essakane,D782,TC-782,D10,D10T2,-1,RAB01204,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5854,Essakane,D748,TC-748,D6,3512C,-1,LLKJ00253,12/31/2018 4:00:00 PM,PETROLEUM PRODUCTS,CAT,PETROLEUM PRODUCTS
5857,Essakane,D744,TC-744,D9,D9R,-1,WDM01868,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5858,Essakane,D746,TC-746,D9,D9R,-1,WDM03237,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5859,Essakane,D747,TC-747,D9,D9R,-1,WDM02588,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5860,Essakane,D750,TC-750,D9,D9R,-1,WDM04066,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5855,Essakane,D781,TC-781,D9,D9G,-1,AK400327,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5856,Essakane,D783,TC-783,D9,D9G,-1,AK400451,12/31/2018 4:00:00 PM,TRACK-TYPE TRACTOR,CAT,TRACK-TYPE TRACTOR
5861,Essakane,C637,CH-637,IT28G,IT28G,-1,WAC00571,12/31/2018 4:00:00 PM,INTEGRATED TOOLCARRIER,CAT,INTEGRATED TOOLCARRIER
